fname,summary
test_0,"#Person1#은 Ms. Dawson에게 모든 직원에게 발송할 사내 메모를 받아쓰도록 요청합니다. 이메일과 공식 메모만 허용되며, 즉시 메시지 사용은 금지됩니다. 위반 시 경고 후 시정 조치가 이루어지며, 두 번째 위반 시 해고될 수 있습니다."
test_1,"#Person2#는 교통체증으로 인해 #Person1#과의 약속에 늦었습니다. #Person1#은 #Person2#에게 대중교통이나 자전거를 이용해 출퇴근할 것을 제안합니다. #Person2#는 차가 줄 수 있는 자유를 그리워하지만, 환경을 위해 차를 사용하지 않기로 결정합니다."
test_2,#Person1#은 #Person2#에게 Masha와 Hero가 이혼했다고 말합니다. #Person2#는 그들이 완벽한 커플이라고 생각했기 때문에 놀랍니다.
test_3,"#Person1#은 Brian의 생일 파티에 참석하여 그와 춤을 추고, 파티를 즐깁니다."
test_4,"#Person1#과 #Person2#는 올림픽 공원을 방문하여 스타디움, 육상 트랙, 점프 구간 등을 둘러봅니다."
test_5,"#Person1#은 회사를 차리고 싶어 하지만 사업 계획서를 작성해본 적이 없습니다. #Person2#는 사업 계획서 작성 방법을 설명하지만, #Person1#은 사업 시작의 번거로움을 피하고 싶어합니다."
test_6,"#Person2#는 간지러움을 느끼고 있으며, #Person1#은 #Person2#가 수두에 걸렸을 가능성을 우려하고 있습니다."
test_7,"#Person2#가 체크아웃을 하며 청구서를 받았으나, 세탁 서비스 요금이 잘못 청구된 것을 발견합니다. #Person1#이 이를 확인하고 수정해 줍니다."
test_8,#Person1#은 스티븐에게 아내가 그의 비서와 불륜 관계를 알고 이혼하려 한다고 말한다. 스티븐은 #Person1#에게 아내를 설득해보겠다고 한다.
test_9,#Person1#과 #Person2#는 아브라함 링컨의 뛰어난 인품에 대해 이야기하고 있습니다.
test_10,"#Person1#은 #Person2#에게 허베이에 심한 황사가 있다고 말하며, 황사가 호흡기 감염 환자 수를 증가시키는 경향이 있다고 설명합니다."
test_11,#Person2#는 Francis의 생일 파티에 참석하여 Francis에게 원격 조종 자동차 모델을 선물합니다. Francis는 그 선물을 매우 좋아합니다.
test_12,Tony는 부정행위를 하다가 들킨 것에 대해 Steven에게 후회를 털어놓는다.
test_13,"#Person1#은 9시 30분 기차를 타기 위해 서두르고 있지만, #Person2#는 아직 충분한 시간이 있다고 말합니다."
test_14,"#Person1#은 #Person2#에게 자신의 삶을 어떻게 조정할지 조언을 구합니다. #Person2#는 #Person1#에게 충분한 수면, 적당한 음주, 운동을 권장합니다."
test_15,#Person1#은 #Person2#에게 Ruojia의 결혼 파티에 참석하자고 제안합니다. #Person2#는 놀라며 이메일을 확인합니다. 그들은 파티에 가져갈 선물을 준비합니다.
test_16,"#Person1#은 #Person2#에게 스트립을 잡아당기고 뒷면을 떼어내라고 지시합니다. #Person2#는 이 행동이 잔인하다고 생각하지만, #Person1#은 재미있다고 여깁니다."
test_17,"#Person1#은 마이크에게 그의 여동생에 대해 묻고, 마이크는 그녀의 외모와 성격을 설명한다."
test_18,"#Person2#는 #Person1#의 체온을 측정하고, 아파서 결석할 경우 미리 연락할 것을 상기시킵니다."
test_19,"#Person2#는 카메라, MP3 플레이어, 영상 통화 기능이 있는 새 휴대폰을 구매하려고 합니다."
test_20,프랭크는 주디에게 건강보험 혜택 때문에 우체국에서 일하게 되었다고 설명한다.
test_21,"#Person2#는 #Person1#에게 자신의 기술, 자격증, 사무 기술 훈련, 그리고 이 직책에 적합한 경력을 설명합니다."
test_22,#Person1#은 #Person2#에게 스테이크가 주문한 것과 달라 교환을 요청합니다.
test_23,#Person1#은 Tom에게 그의 소설이 노벨상을 받았다고 알립니다. Tom은 이 소식에 놀랍니다.
test_24,"#Person2#는 자동차 디자인 전공과 과학 석사 학위를 가지고 있으며, 이전 직장에서 재료의 기계적 강도와 부식 저항성을 연구했습니다."
test_25,"#Person1#과 #Person2#는 술 마시는 습관에 대해 이야기합니다. #Person1#은 보통 맥주 두 잔만 마시고, #Person2#는 밤새 최소 10잔을 마십니다. #Person2#는 #Person1#에게 내일 램 바 & 그릴에서 피처 프로모션을 즐기자고 제안합니다."
test_26,"메이의 엄마는 메이에게 소풍 준비를 도와달라고 요청합니다. 메이는 샌드위치 대신 토스트와 치킨 윙을 먹고 싶어하며, 엄마에게 냅킨과 일회용 접시, 컵, 소풍용 담요를 잊지 말라고 상기시킵니다."
test_27,James는 Muriel Douglas 씨를 만나 새 계정에 대해 논의하기 위해 만났습니다. 그들은 서로의 휴일 경험을 공유합니다.
test_28,"#Person1#은 ATM에서 돈을 인출하려 했으나, 실수로 세계 야생동물 재단에 10000달러를 이체했습니다. #Person1#은 화를 내며 돈을 돌려받으려 하지만, 출입구가 봉쇄되었습니다."
test_29,"#Person2#는 친구들과 어울리는 것을 좋아하며, 직장 동료들과 대화할 때 진심을 전하는 것이 중요하다고 생각합니다."
test_30,"Mr. Polly는 #Person1#에게 음료수 한 병을 사달라고 부탁하지만, #Person1#은 상사가 있는 가게에서 사는 것을 꺼려합니다."
test_31,모니카와 프랜시스는 금요일 오후에 재무 보고서를 검토하기로 약속했습니다.
test_32,"#Person1#과 #Person2#는 다음 주 인터뷰를 준비하기 위해 워크숍에 참가합니다. 그들은 깔끔한 옷차림, 친절한 태도, 정직한 대답의 중요성에 대해 논의합니다."
test_33,"#Person1#은 Mike에게 그의 캐릭터가 더 많은 분노를 보여야 한다고 지적합니다. Mike는 캐릭터가 분노와 슬픔을 동시에 느낄 것이라고 생각하지만, #Person1#은 다른 의견을 가지고 있습니다."
test_34,"#Person1#은 Mrs. Todd에게 인사를 하러 왔고, Mrs. Todd는 #Person1#의 방문에 감사의 뜻을 전합니다."
test_35,빌은 피곤함을 호소하며 형이 미국 출장으로 아직 돌아오지 않았다고 말한다. #Person1#은 빌의 시계 시간을 확인한다.
