fname,summary
test_0,"#Person1#은 Ms. Dawson에게 모든 직원들에게 발송할 사내 메모를 작성해 달라고 요청합니다. 이 메모는 즉시 메시지 프로그램 사용 금지 정책을 안내하며, 위반 시 경고 후 시정 조치 및 두 번째 위반 시 해고될 수 있음을 명시합니다."
test_1,#Person1#은 #Person2#에게 교통체증을 피하기 위해 대중교통을 이용하거나 자전거로 출퇴근할 것을 제안합니다. #Person2#는 환경 보호를 위해 이에 동의합니다.
test_2,"#Person1#은 Kate에게 Masha와 Hero가 이혼 절차를 밟고 있으며, Masha가 양육권을 가지기로 했다고 전합니다. Kate는 놀라움을 표합니다."
test_3,"#Person1#은 Brian의 생일 파티에서 춤을 추며 그를 축하하고, Brian은 #Person1#의 아름다움을 칭찬합니다."
test_4,#Person1#과 #Person2#는 올림픽 스타디움을 방문하여 스타디움의 완공 예정일과 좌석 수에 대해 이야기합니다.
test_5,"#Person1#은 회사를 그만두고 자신의 사업을 시작하기로 했습니다. #Person2#는 #Person1#에게 사업 계획서를 작성하는 방법을 설명하지만, #Person1#은 그 과정이 너무 복잡해 보여서 그냥 예전 일을 계속하는 것이 더 나을 것 같다고 생각합니다."
test_6,"#Person2#는 간지러움을 느끼고 있으며, #Person1#은 #Person2#가 수두에 걸린 것 같다고 생각합니다."
test_7,#Person2#는 청구서에 세탁 서비스 요금이 잘못 청구된 것을 발견합니다. #Person1#은 사과하고 문제를 해결합니다.
test_8,#Person1#은 스티븐에게 아내가 비서와의 불륜을 알게 되어 이혼하려 한다고 말합니다. 스티븐은 아내가 이혼을 다시 생각하도록 설득해보겠다고 약속합니다.
test_9,#Person1#과 #Person2#는 아브라함 링컨의 뛰어난 인품에 대해 이야기한다.
test_10,"#Person2#는 허베이로 여행을 가고 싶어 하지만, #Person1#은 허베이에 심한 황사가 있다고 알려준다."
test_11,#Person2#는 Francis의 생일 파티에 참석하여 원격 조종 자동차 모델을 선물한다. Francis는 이 선물을 매우 좋아한다.
test_12,Tony는 Steven에게 부정행위를 하다가 들킨 것에 대해 후회한다고 말한다. Steven은 실수에서 배우라고 조언한다.
test_13,"#Person1#은 기차를 타기 위해 서두르고 있지만, #Person2#는 충분한 시간이 남아 있다고 생각합니다."
test_14,"#Person2#는 #Person1#에게 충분한 수면을 취하고, 과음하지 않으며, 매일 아침 운동을 하라고 조언합니다."
test_15,"#Person1#이 #Person2#에게 Ruojia의 결혼 소식을 전하고 파티에 가자고 제안합니다. #Person1#은 Ruojia의 트위터를 통해 알게 되었고, #Person2#에게 이메일을 확인하라고 조언합니다."
test_16,"#Person1#과 #Person2#는 스트립을 뜯으며 즐기고 있다. #Person2#는 그것이 잔인하다고 생각하지만, #Person1#은 그것이 재미있다고 생각한다."
test_17,"#Person1#은 마이크에게 그의 여동생에 대해 묻고, 마이크는 그녀가 키가 크고 예쁘며 친절하고 성격이 좋다고 설명한다."
test_18,"#Person2#는 #Person1#의 체온을 측정하고, 다음에는 부모님이 학교에 연락하라고 조언합니다."
test_19,"#Person2#는 새 휴대폰을 구매하려고 하며, #Person1#은 카메라와 MP3 플레이어가 있는 모델을 추천합니다."
test_20,"프랭크는 주디에게 새 직장이 업무 일정이 빡빡하지만, 가족을 위한 좋은 건강보험 혜택이 있어 우체국에서 일하게 되었다고 설명한다."
test_21,"#Person1#은 #Person2#에게 특별한 기술, 자격증, 사무 기술에 대한 특별한 훈련, 그리고 이 직책에 적합한 경력에 대해 질문합니다."
test_22,#Person1#은 스테이크가 너무 잘 익었다고 생각하여 #Person2#에게 교환을 요청합니다.
test_23,"#Person1#은 Tom에게 그의 소설이 노벨상을 받았다는 소식을 전합니다. Tom은 이 소식을 믿기 어려워하며, #Person1#은 축하 파티를 열자고 제안합니다."
test_24,#Person2#는 #Person1#에게 자신의 전공과 이전 직장에서의 업무 경험을 설명합니다.
test_25,"#Person1#과 #Person2#는 그들의 음주 습관에 대해 이야기합니다. #Person2#는 보통 밤새 술을 마시고, #Person1#은 외출할 때만 술을 마십니다. #Person1#은 세 잔 이상의 술을 마시면 두통이 오며, #Person2#는 #Person1#에게 적응하라고 조언합니다. 그들은"
