fname,summary
test_0,#Person1#은 Ms. Dawson에게 모든 직원들에게 사내 메모를 보내 모든 통신이 이메일과 공식 메모로만 제한된다는 내용을 알리도록 요청합니다. Ms. Dawson은 정책의 적용 범위와 직원들의 반응에 대해 질문합니다.
test_1,"#Person1#과 #Person2#는 출퇴근 시간의 교통체증에 대해 이야기합니다. #Person1#은 대중교통 이용을 제안하고, #Person2#는 이를 고려하기로 합니다."
test_2,"#Person1#은 #Person2#에게 Masha와 Hero가 이혼 신청을 했다고 전하고, #Person2#는 놀라워한다."
test_3,"#Person1#은 Brian의 생일 파티에 참석하여 그와 춤을 춘다. Brian은 #Person1#의 외모를 칭찬하고, #Person1#은 파티를 칭찬한다."
test_4,"#Person2#는 #Person1#에게 올림픽 스타디움이 6월에 완공될 예정이며, 총 5000석의 좌석이 있다고 설명합니다."
test_5,#Person1#은 회사를 그만두고 자신의 사업을 시작하려고 합니다. #Person2#는 #Person1#에게 사업 계획서를 작성하는 방법을 설명합니다. #Person1#은 그 과정이 복잡하고 번거롭다고 느껴 기존 직업을 유지하기로 결정합니다.
test_6,"#Person2#는 간지러움을 느끼고 있으며, #Person1#은 #Person2#가 수두에 걸렸다고 의심합니다."
test_7,#Person2#는 체크아웃 시 청구서에서 세탁 서비스 요금이 잘못 청구된 것을 발견합니다. #Person1#은 이를 확인하고 수정해 줍니다.
test_8,#Person1#은 스티븐에게 아내가 비서와 바람피운 것을 알게 되어 이혼하려 한다고 말합니다. 스티븐은 #Person1#을 설득하려고 합니다.
test_9,#Person1#과 #Person2#는 아브라함 링컨의 뛰어난 인품에 대해 이야기한다.
test_10,"#Person2#는 허베이로 여행을 가고 싶어 하지만, #Person1#은 황사로 인해 호흡기 감염 환자 수가 증가한다고 경고합니다."
test_11,#Person2#는 Francis의 생일 파티에 참석하여 선물로 원격 조종 자동차 모델을 주었다. Francis는 그 선물을 매우 좋아한다.
